Food,Disease,Clinical Trial,Food.or.Diet.Related,title,author,journal,number,cites,year,pubid,
,,,,"α-Tocopherol bioavailability is lower in adults with metabolic syndrome regardless of dairy fat co-ingestion: a randomized, double-blind, crossover trial","E Mah, TN Sapper, C Chitchumroonchokchai, ML Failla, KE Schill, ...",The American journal of clinical nutrition,"102 (5), 1070-1080",57,2015,4.2949E+18,wbdj-CoPYUoC
,,,,Soy proteins and isoflavones reduce interleukin-6 but not serum lipids in older women: a randomized controlled trial,"KM Mangano, HL Hutchins-Wiese, AM Kenny, SJ Walsh, RH Abourizk, ...",Nutrition research,"33 (12), 1026-1033",55,2013,1.25441E+19,dshw04ExmUIC
,,,,"Vitamin C status is related to proinflammatory responses and impaired vascular endothelial function in healthy, college-aged lean and obese men","E Mah, MD Matos, D Kawiecki, K Ballard, Y Guo, JS Volek, RS Bruno",Journal of the American Dietetic Association,"111 (5), 737-743",55,2011,3.99921E+18,hqOjcs7Dif8C
,,,,Green tea extract provides extensive Nrf2‐independent protection against lipid accumulation and NFκB pro‐inflammatory responses during nonalcoholic steatohepatitis in mice fed …,"J Li, TN Sapper, E Mah, S Rudraiah, KE Schill, C Chitchumroonchokchai, ...",Molecular nutrition & food research,"60 (4), 858-870",54,2016,1.37455E+19,Y5dfb0dijaUC
,,,,Low-fat milk ingestion prevents postprandial hyperglycemia-mediated impairments in vascular endothelial function in obese individuals with metabolic syndrome,"KD Ballard, E Mah, Y Guo, R Pei, JS Volek, RS Bruno",The Journal of nutrition,"143 (10), 1602-1610",52,2013,3.71842E+18,CHSYGLWDkRkC
,,,,Dietary zinc restriction in rats alters antioxidant status and increases plasma F2 isoprostanes,"RS Bruno, Y Song, SW Leonard, DJ Mustacich, AW Taylor, MG Traber, ...",The Journal of nutritional biochemistry,"18 (8), 509-518",52,2007,1.47803E+19,Y0pCki6q_DkC
,,,,A simple assay for frequency of chromosome breaks and loss (micronuclei) by flow cytometry of human reticulocytes,"T Offer, E Ho, MG Traber, RS Bruno, FA Kuypers, BN Ames",The FASEB journal,"19 (3), 1-18",47,2005,8.01313E+18,zYLM7Y9cAGgC
,,,,Validation of high-performance liquid chromatography–boron-doped diamond detection for assessing hepatic glutathione redox status,"HJ Park, E Mah, RS Bruno",Analytical biochemistry,"407 (2), 151-159",44,2010,1.74104E+19,j3f4tGmQtD8C
,,,,Lower plasma α-carboxyethyl-hydroxychroman after deuterium-labeled α-tocopherol supplementation suggests decreased vitamin E metabolism in smokers,"RS Bruno, SW Leonard, J Li, TM Bray, MG Traber",The American journal of clinical nutrition,"81 (5), 1052-1059",42,2005,1.03376E+18,YsMSGLbcyi4C
,,,,Green tea extract treatment reduces NFκB activation in mice with diet-induced nonalcoholic steatohepatitis by lowering TNFR1 and TLR4 expression and ligand availability,"J Li, TN Sapper, E Mah, MV Moller, JB Kim, C Chitchumroonchokchai, ...",The Journal of nutritional biochemistry,"41, 34-41",41,2017,6.37539E+18,VLnqNzywnoUC
,,,,Green tea lowers hepatic COX-2 and prostaglandin E2 in rats with dietary fat-induced nonalcoholic steatohepatitis,"MY Chung, E Mah, C Masterjohn, SK Noh, HJ Park, RM Clark, YK Park, ...",Journal of medicinal food,"18 (6), 648-655",41,2015,1.3693E+19,5Ul4iDaHHb8C
,,,,Green tea extract prevents obesity in male mice by alleviating gut dysbiosis in association with improved intestinal barrier function that limits endotoxin translocation and …,"P Dey, GY Sasaki, P Wei, J Li, L Wang, J Zhu, D McTigue, Z Yu, RS Bruno",The Journal of nutritional biochemistry,"67, 78-89",40,2019,1.01022E+19,rmuvC79q63oC
,,,,Dietary fructose feeding increases adipose methylglyoxal accumulation in rats in association with low expression and activity of glyoxalase-2,"C Masterjohn, Y Park, J Lee, SK Noh, SI Koo, RS Bruno",Nutrients,"5 (8), 3311-3328",39,2013,1.5005E+19,1sJd4Hv_s6UC
,,,,γ-Tocopherol-rich supplementation additively improves vascular endothelial function during smoking cessation,"E Mah, R Pei, Y Guo, KD Ballard, T Barker, VE Rogers, BA Parker, ...",Free Radical Biology and Medicine,"65, 1291-1299",38,2013,2.09268E+18,UxriW0iASnsC
,,,,"The relationship between vitamin C status, the gut-liver axis, and metabolic syndrome","MG Traber, GR Buettner, RS Bruno",Redox biology,"21, 101091",37,2019,1.55496E+19,_axFR9aDTf0C
,,,,"Metabolic syndrome increases dietary α-tocopherol requirements as assessed using urinary and plasma vitamin E catabolites: a double-blind, crossover clinical trial","MG Traber, E Mah, SW Leonard, G Bobe, RS Bruno",The American journal of clinical nutrition,"105 (3), 571-579",37,2017,1.08918E+19,t7zJ5fGR-2UC
,,,,Supplementation of a γ-tocopherol-rich mixture of tocopherols in healthy men protects against vascular endothelial dysfunction induced by postprandial hyperglycemia,"E Mah, SK Noh, KD Ballard, HJ Park, JS Volek, RS Bruno",The Journal of nutritional biochemistry,"24 (1), 196-203",36,2013,1.11814E+19,Wp0gIr-vW9MC
,,,,"Haskell, I-Min Lee, Russell R",L William,"Pate, Kenneth E. Powell, Steven N. Blair, Barry A. Franklin, Caroline A …",,34,2007,"17,415,361,370,834,200,000,000,000,000,000,000,000",PoWvk5oyLR8C
,,,,Low-fat yogurt consumption reduces biomarkers of chronic inflammation and inhibits markers of endotoxin exposure in healthy premenopausal women: a randomised controlled trial,"R Pei, DM DiMarco, KK Putt, DA Martin, Q Gu, C Chitchumroonchokchai, ...",British Journal of Nutrition,"118 (12), 1043-1051",33,2017,1.02542E+19,kz9GbA2Ns4gC
,,,,Frontiers in Algorithmics,"J Wang, C Yap",Springer. https://doi. org/,/10.1007/978-3-319-19647-3,31,2014,"17,511,926,623,701,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000",YohjEiUPhakC
,,,,Vitamin C supplementation lowers urinary levels of 4-hydroperoxy-2-nonenal metabolites in humans,"HC Kuiper, RS Bruno, MG Traber, JF Stevens",Free Radical Biology and Medicine,"50 (7), 848-853",31,2011,1.80102E+19,4DMP91E08xMC
,,,,Targeted high performance liquid chromatography tandem mass spectrometry-based metabolomics differentiates metabolic syndrome from obesity,"F Zhong, M Xu, RS Bruno, KD Ballard, J Zhu",Experimental Biology and Medicine,"242 (7), 773-780",30,2017,7.27496E+18,0KyAp5RtaNEC
,,,,Altered gene expression in cloned piglets,"XC Tian, J Park, R Bruno, R French, L Jiang, RS Prather","Reproduction, Fertility and Development","21 (1), 60-66",30,2008,1.76014E+19,RHpTSmoSYBkC
,,,,"Postprandial metabolism of macronutrients and cardiometabolic risk: recent developments, emerging concepts, and future directions","M Jacome-Sosa, EJ Parks, RS Bruno, E Tasali, GF Lewis, BO Schneeman, ...",Advances in Nutrition,"7 (2), 364-374",29,2016,9.776E+18,ZuybSZzF8UAC
,,,,"γ-Tocopherol abolishes postprandial increases in plasma methylglyoxal following an oral dose of glucose in healthy, college-aged men","C Masterjohn, E Mah, Y Guo, SI Koo, RS Bruno",The Journal of nutritional biochemistry,"23 (3), 292-298",27,2012,7.98595E+18,3fE2CSJIrl8C
,,,,Green tea extract protects against hepatic NFκB activation along the gut-liver axis in diet-induced obese mice with nonalcoholic steatohepatitis by reducing endotoxin and TLR4 …,"J Li, GY Sasaki, P Dey, C Chitchumroonchokchai, AN Labyk, ...",The Journal of nutritional biochemistry,"53, 58-65",26,2018,4.1189E+18,URolC5Kub84C
,,,,Chlorogenic acid differentially alters hepatic and small intestinal thiol redox status without protecting against azoxymethane-induced colon carcinogenesis in mice,"HJ Park, SR Davis, HY Liang, DW Rosenberg, RS Bruno",Nutrition and cancer,"62 (3), 362-370",25,2010,2.90773E+18,8k81kl-MbHgC
,,,,Modulation of cell growth and apoptosis response in human prostate cancer cells supplemented with tocotrienols,"K Nesaretnam, TH Koon, KR Selvaduray, RS Bruno, E Ho",European journal of lipid science and technology,"110 (1), 23-31",24,2008,1.01551E+18,UebtZRa9Y70C
,,,,Consumption of green tea extract results in osteopenia in growing male mice,"UT Iwaniec, RT Turner, SI Koo, R Kaur, E Ho, CP Wong, RS Bruno",The Journal of nutrition,"139 (10), 1914-1919",23,2009,1.10468E+19,YOwf2qJgpHMC
,,,,"Lutein, zeaxanthin, and age-related macular degeneration","RS Bruno, DM Medeiros","Journal of nutraceuticals, functional & medical foods","3 (1), 79-85",22,2001,1.02914E+19,HE397vMXCloC
,,,,Quercetin bioavailability is associated with inadequate plasma vitamin C status and greater plasma endotoxin in adults,"Y Guo, E Mah, RS Bruno",Nutrition,"30 (11-12), 1279-1286",20,2014,2.76183E+18,tOudhMTPpwUC
,,,,Self-reported evaluation of competencies and attitudes by physicians-in-training before and after a single day legislative advocacy experience,"KM Huntoon, CJ McCluney, EA Wiley, CA Scannell, R Bruno, MJ Stull",BMC medical education,"12 (1), 1-7",20,2012,1.80758E+19,_B80troHkn4C
,,,,Angiotensin II regulates endothelial cell migration through calcium influx via T‐type calcium channel in human umbilical vein endothelial cells,"A Martini, R Bruno, S Mazzulla, A Nocita, G Martino",Acta physiologica,"198 (4), 449-455",20,2010,8.72581E+18,4TOpqqG69KYC
,,,,Phenolic and tocopherol content of autumn olive (Elaeagnus umbellate) berries,"R Pei, M Yu, R Bruno, BW Bolling",Journal of Functional Foods,"16, 305-314",18,2015,4.0789E+18,XiVPGOgt02cC
,,,,Protective role of dairy and its constituents on vascular function independent of blood pressure–lowering activities,"KD Ballard, RS Bruno",Nutrition reviews,"73 (1), 36-50",18,2015,7.94908E+18,LPZeul_q3PIC
,,,,Acute glutathione depletion induces hepatic methylglyoxal accumulation by impairing its detoxification to d-lactate,"C Masterjohn, E Mah, Y Park, R Pei, J Lee, JE Manautou, RS Bruno",Experimental Biology and Medicine,"238 (4), 360-369",18,2013,1.33035E+19,u_35RYKgDlwC
,,,,Increased static and decreased capacity oxidation-reduction potentials in plasma are predictive of metabolic syndrome,"G Bobe, TJ Cobb, SW Leonard, S Aponso, CB Bahro, D Koley, E Mah, ...",Redox biology,"12, 121-128",17,2017,4.50062E+18,yB1At4FlUx8C
,,,,Effects of prior aerobic exercise on sitting-induced vascular dysfunction in healthy men,"KD Ballard, RM Duguid, CW Berry, P Dey, RS Bruno, RM Ward, ...",European journal of applied physiology,"117 (12), 2509-2518",16,2017,"432,256,020,470,460,000,000,000,000,000,000,000,000",VaXvl8Fpj5cC
,,,,"Altered gene expression profiles in the brain, kidney, and lung of deceased neonatal cloned pigs","J Park, SL Marjani, L Lai, M Samuel, D Wax, SR Davis, RS Bruno, ...","Cellular Reprogramming (Formerly"" Cloning and Stem Cells"")","12 (5), 589-597",16,2010,1.57701E+19,e5wmG9Sq2KIC
,,,,"Lycopene: food sources, properties, and health","RS Bruno, REC Wildman, SJ Schwartz",Handbook of nutraceuticals and functional foods,2,16,2007,1.41545E+19,nb7KW1ujOQ8C
,,,,Green Tea Extract Treatment in Obese Mice with Nonalcoholic Steatohepatitis Restores the Hepatic Metabolome in Association with Limiting Endotoxemia‐TLR4‐NFκB‐Mediated Inflammation,"GY Sasaki, J Li, MJ Cichon, KM Riedl, RE Kopec, RS Bruno",Molecular nutrition & food research,"63 (24), 1900811",15,2019,1.73953E+19,umqufdRvDiIC
,,,,Replacing carbohydrate during a glucose challenge with the egg white portion or whole eggs protects against postprandial impairments in vascular endothelial function in …,"JD McDonald, C Chitchumroonchokchai, J Li, E Mah, AN Labyk, ...",British Journal of Nutrition,"119 (3), 259-270",15,2018,1.67833E+19,WZBGuue-350C
,,,,Greater γ-tocopherol status during acute smoking abstinence with nicotine replacement therapy improved vascular endothelial function by decreasing 8-iso-15 (S)-prostaglandin F2α,"E Mah, R Pei, Y Guo, C Masterjohn, KD Ballard, BA Taylor, AW Taylor, ...",Experimental Biology and Medicine,"240 (4), 527-533",15,2015,1.16476E+19,sSrBHYA8nusC
,,,,Premeal low-fat yogurt consumption reduces postprandial inflammation and markers of endotoxin exposure in healthy premenopausal women in a randomized controlled trial,"R Pei, DM DiMarco, KK Putt, DA Martin, C Chitchumroonchokchai, ...",The Journal of nutrition,"148 (6), 910-916",14,2018,1.76262E+19,i2xiXl-TujoC
,,,,Raspberry ketone fails to reduce adiposity beyond decreasing food intake in C57BL/6 mice fed a high-fat diet,"BM Cotten, SA Diamond, T Banh, YH Hsiao, RM Cole, J Li, CT Simons, ...",Food & function,"8 (4), 1512-1518",14,2017,8.36527E+18,EkHepimYqZsC
,,,,Antioxidant capacity of green tea (Camellia sinensis),"RS Bruno, JA Bomser, MG Ferruzzi",Processing and Impact on Antioxidants in Beverages,33-39,14,2014,8.36144E+18,AXPGKjj_ei8C
,,,,Cigarette Smoking Increases Human Vitamin E Requirements as Estimated by Plasma Deuterium‐Labeled CEHC,"SW Leonard, RS Bruno, R Ramakrishnan, T Bray, MG Traber",Annals of the New York Academy of Sciences,"1031 (1), 357-360",14,2004,1.33919E+19,MXK_kJrjxJIC
,,,,"Altered gene expression profiles in the brain, kidney, and lung of one-month-old cloned pigs","J Park, L Lai, M Samuel, D Wax, RS Bruno, R French, RS Prather, X Yang, ...","Cellular Reprogramming (Formerly"" Cloning and Stem Cells"")","13 (3), 215-223",13,2011,7.00851E+18,_Qo2XoVZTnwC
,,,,The effects of adrenergic blocking agents on passive cutaneous anaphylaxis reactions in the rat,"G Tolone, L Bonasera, R Bruno",Pathobiology,"37 (3), 194-200",13,1971,1.38062E+19,olpn-zPbct0C
,,,,"Intestinal-level anti-inflammatory bioactivities of catechin-rich green tea: rationale, design, and methods of a double-blind, randomized, placebo-controlled crossover trial in …","JK Hodges, J Zhu, Z Yu, Y Vodovotz, G Brock, GY Sasaki, P Dey, ...",Contemporary clinical trials communications,"17, 100495",12,2020,1.63341E+19,DUooU5lO8OsC
,,,,Dairy foods and dairy fats: new perspectives on pathways implicated in cardiometabolic health,"KM Hirahatake, RS Bruno, BW Bolling, C Blesso, LM Alexander, ...",Advances in Nutrition,"11 (2), 266-279",12,2020,9.78786E+18,4hFrxpcac9AC
,,,,Hepatoprotective activities of green tea in nonalcoholic fatty liver disease,"HJ Park, RS Bruno",Agro Food Industry Hi-Tech,"21 (1), 37-40",12,2010,3.22444E+18,qxL8FJ1GzNcC
,,,,Handbook of nutraceuticals and functional foods,"RS Bruno, REC Wildman",CRC Press,,12,2007,"156,423,316,496,452,000,000,000,000,000,000,000,000",WJVC3Jt7v1AC
,,,,"Lycopene: source, properties and nutraceutical potential","RS Bruno, REC Wildman","Wildman REC. Handbook of nutraceuticals and functional foods. Boca Raton, FL …",,12,2001,1.76452E+19,xtRiw3GOFMkC
,,,,A green tea-containing starch confection increases plasma catechins without protecting against postprandial impairments in vascular function in normoglycemic adults,"TN Sapper, E Mah, J Ahn-Jarvis, JD McDonald, C Chitchumroonchokchai, ...",Food & function,"7 (9), 3843-3853",10,2016,1.60454E+19,uJ-U7cs_P_0C
,,,,Effect of dietary apple polyphenol on metabolic disorder of lipid in rats given oxidized cholesterol,K Osada,Proc. Jpn. Conf. Biochem. Lipids,"39, 317-320",10,1997,1.25892E+18,HbR8gkJAVGIC
,,,,Green tea extract inhibits early oncogenic responses in mice with nonalcoholic steatohepatitis,"P Dey, JB Kim, C Chitchumroonchokchai, J Li, GY Sasaki, BD Olmstead, ...",Food & function,"10 (10), 6351-6361",9,2019,2.2319E+18,a9-T7VOCCH8C
,,,,Vasoprotective activities of quercetin,"YI Guo, RS Bruno",Agro Food Industry Hi-tech,"22 (1), 16-19",9,2011,4.69074E+18,#NAME?
,,,,Dairy milk proteins attenuate hyperglycemia-induced impairments in vascular endothelial function in adults with prediabetes by limiting increases in glycemia and oxidative …,"JD McDonald, E Mah, C Chitchumroonchokchai, P Dey, AN Labyk, ...",The Journal of nutritional biochemistry,"63, 165-176",8,2019,4.75762E+18,5qfkUJPXOUwC
,,,,"γ− Carboxyethyl hydroxychroman, a metabolite of γ− tocopherol, preserves nitric oxide bioavailability in endothelial cells challenged with high glucose","Y Li, LP Bharath, Y Qian, T Ruan, PV Anandh Babu, RS Bruno, ...",Experimental Biology and Medicine,"241 (18), 2056-2062",8,2016,2.75785E+18,j8SEvjWlNXcC
,,,,Acute quercetin supplementation does not lower blood pressure or ACE activity in normotensive males,"AJ Larson, RS Bruno, Y Guo, D Gale, J Tanner, T Jalili, JD Symons",Journal of the American Dietetic Association,"109 (9), A16",8,2009,9.90416E+18,aqlVkmm33-oC
,,,,Epigallocatechin gallate but not catechin prevents nonalcoholic steatohepatitis in mice similar to green tea extract while differentially affecting the gut microbiota,"P Dey, BD Olmstead, GY Sasaki, Y Vodovotz, Z Yu, RS Bruno",The Journal of Nutritional Biochemistry,"84, 108455",7,2020,1.68037E+19,IRz6iEL74y4C
,,,,Anti-inflammatory activities of green tea catechins along the gut-liver axis in nonalcoholic fatty liver disease: lessons learned from preclinical and human studies,"JK Hodges, GY Sasaki, RS Bruno",The Journal of Nutritional Biochemistry,108478,7,2020,2.85065E+18,HIFyuExEbWQC
,,,,"Synthetic α-tocopherol, compared with natural α-tocopherol, downregulates myelin genes in cerebella of adolescent Ttpa-null mice","KM Ranard, MJ Kuchan, RS Bruno, JM Juraska, JW Erdman",The Journal of nutrition,"150 (5), 1031-1040",7,2020,5.12467E+18,6ZxmRoH8BuwC
,,,,"Dairy milk, regardless of fat content, protects against postprandial hyperglycemia-mediated impairments in vascular endothelial function in adults with prediabetes by limiting …","JD McDonald, E Mah, P Dey, BD Olmstead, GY Sasaki, FA Villamena, ...",The Journal of nutritional biochemistry,"63, 129-139",7,2019,1.25874E+19,PVjk1bu6vJQC
,,,,Dietary green tea extract prior to spinal cord injury prevents hepatic iron overload but does not improve chronic hepatic and spinal cord pathology in rats,"MT Goodus, AD Sauerbeck, PG Popovich, RS Bruno, DM McTigue",Journal of neurotrauma,"35 (24), 2872-2882",7,2018,3.83916E+18,FPJr55Dyh1AC
,,,,Single low-density lipoprotein apheresis does not improve vascular endothelial function in chronically treated hypercholesterolemic patients,"KD Ballard, E Mah, Y Guo, RS Bruno, BA Taylor, JE Beam, DM Polk, ...",International journal of vascular medicine,2016,7,2016,2.77293E+18,N5tVd3kTz84C
,,,,α-Tocopherol supplementation reduces 5-nitro-γ-tocopherol accumulation by decreasing γ-tocopherol in young adult smokers,"R Pei, E Mah, SW Leonard, MG Traber, RS Bruno",Free radical research,"49 (9), 1114-1121",7,2015,1.51516E+19,bnK-pcrLprsC
,,,,Zinc status alters growth and oxidative stress responses in rat hepatoma cells,"K Sankavaram, L Chong, RS Bruno, HC Freake",Nutrition and cancer,"66 (1), 104-116",7,2014,1.16003E+19,SP6oXDckpogC
,,,,Triglyceride recrystallized phytosterols in fat-free milk improve lipoprotein profiles more than unmodified free phytosterols in hypercholesterolemic men and women,"LJ Kunces, LK Cusack, BR Kupchak, BM Volk, DJ Freidenreich, ...",Journal of the American College of Nutrition,"32 (4), 234-242",7,2013,7.02211E+18,KxtntwgDAa4C
,,,,Comparative metabolomics elucidates postprandial metabolic modifications in plasma of obese individuals with metabolic syndrome,"M Xu, F Zhong, RS Bruno, KD Ballard, J Zhang, J Zhu",Journal of proteome research,"17 (8), 2850-2860",6,2018,2.97797E+18,Ug5p-4gJ2f0C
